,etat,marque,prix_euro,couleur,taille_ecran_pouce,capacite_stockage_Go,megapixel,systeme_exploitation,resolution_ecran,reseau,date_de_sortie,memoire,connecteur,double_sim,port_carte_SD,pliable,poids_g
0,État correct,apple,201.0,gris sidéral,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
1,Très bon état,apple,213.0,gris sidéral,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
2,Parfait état,apple,263.0,gris sidéral,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
3,État correct,apple,358.0,noir,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
4,Très bon état,apple,379.0,noir,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
5,Parfait état,apple,375.0,noir,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
6,État correct,apple,354.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
7,Très bon état,apple,382.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
8,Parfait état,apple,380.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
9,État correct,apple,507.0,noir,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
10,Très bon état,apple,528.0,noir,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
11,Parfait état,apple,549.0,noir,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
12,État correct,apple,210.0,or,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
13,Très bon état,apple,232.0,or,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
14,Parfait état,apple,239.0,or,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
15,État correct,apple,319.0,noir,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
16,Très bon état,apple,335.0,noir,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
17,Parfait état,apple,364.0,noir,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
18,État correct,samsung,204.0,noir carbone,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,163
19,Très bon état,samsung,233.0,noir carbone,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,163
20,Parfait état,samsung,213.0,noir carbone,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,163
21,État correct,apple,368.8,argent,5.8,64.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
22,Très bon état,apple,389.0,argent,5.8,64.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
23,Parfait état,apple,378.0,argent,5.8,64.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
24,État correct,apple,145.0,noir,4.7,32.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
25,Très bon état,apple,155.0,noir,4.7,32.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
26,Parfait état,apple,199.0,noir,4.7,32.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
27,État correct,apple,386.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
28,Très bon état,apple,375.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
29,Parfait état,apple,395.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
30,État correct,apple,488.0,rouge,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
31,Très bon état,apple,528.0,rouge,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
32,Parfait état,apple,505.0,rouge,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
33,État correct,apple,210.0,argent,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
34,Très bon état,apple,240.0,argent,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
35,Parfait état,apple,263.0,argent,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
36,État correct,apple,375.0,noir,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
37,Très bon état,apple,404.0,noir,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
38,Parfait état,apple,413.0,noir,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
39,État correct,apple,536.0,noir,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
40,Très bon état,apple,559.0,noir,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
41,Parfait état,apple,615.0,noir,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
42,État correct,apple,353.0,rouge,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
43,Très bon état,apple,353.0,rouge,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
44,Parfait état,apple,419.0,rouge,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
45,État correct,apple,514.0,mauve,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
46,Très bon état,apple,528.0,mauve,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
47,Parfait état,apple,505.0,mauve,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
48,État correct,samsung,208.0,ultra violet,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
49,Très bon état,samsung,207.0,ultra violet,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
50,Parfait état,samsung,212.0,ultra violet,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
51,État correct,apple,336.0,rouge,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
52,Très bon état,apple,338.0,rouge,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
53,Parfait état,apple,345.0,rouge,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
54,État correct,samsung,194.0,noir carbone,5.8,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,155
55,Très bon état,samsung,193.0,noir carbone,5.8,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,155
56,Parfait état,samsung,195.0,noir carbone,5.8,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,155
57,État correct,apple,379.0,blanc,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
58,Très bon état,apple,380.0,blanc,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
59,Parfait état,apple,378.0,blanc,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
60,État correct,samsung,339.9,noir,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
61,Très bon état,samsung,325.0,noir,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
62,Parfait état,samsung,318.0,noir,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
63,État correct,apple,539.0,blanc,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
64,Très bon état,apple,529.0,blanc,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
65,Parfait état,apple,589.0,blanc,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
66,État correct,apple,621.0,noir,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
67,Très bon état,apple,673.0,noir,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
68,Parfait état,apple,700.0,noir,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
69,État correct,apple,319.0,blanc,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
70,Très bon état,apple,419.0,blanc,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
71,Parfait état,apple,375.0,blanc,4.7,64.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
72,État correct,apple,404.8,or,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
73,Très bon état,apple,424.0,or,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
74,Parfait état,apple,401.0,or,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
75,État correct,samsung,235.0,bleu corail,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
76,Très bon état,samsung,254.0,bleu corail,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
